Fiscal Year,Event ID,Security Category Name,Public Event Name,Event Created Date,Event Date,Event Goal($),Active Registrations,Inactive Registrations,Total Fees Paid,Total of All Confirmed Gifts($),Total Online Gifts($),Teams,Captains,Average Team Size,Team pages with custom URL,Emails Sent,Personal pages with custom URL,Total Offline Confirmed Gifts($),Self Donors,Total From Participant($),Non-self Donors,Total Not From Participant($),Total Team Gifts($),Total Event Gifts($),Total Offline Unconfirmed Gifts($),Street Address,City,State,Zip Code,Internal Event Name,Previous Event ID
2016,27042,MDM Bike Events,Bike MS: Chesapeake Challenge 2016,9/8/2015 12:36,6/4/2016 12:10,1025000,718,19,11732.72,600785.6,488039.71,93,93,5,27,34009,239,112745.89,415,127881.57,322,521362.24,6447,48124.49,46778.21,"10028 Ocean Gateway, Easton, MD 21601",Easton,MD,21601,MDM 2016 Bike MS: Chesapeake Challenge,25118
2013,20359,MDM Bike Events,MDM Bike MS 2013,10/2/2012 11:17,5/31/2013 9:10,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10028 Ocean Gateway,Easton,MD,21601,MDM Bike MS 2013,17584
2014,21906,MDM Bike Events,MDM Bike MS 2014,4/10/2013 12:15,5/14/2014 11:03,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10028 Ocean Gateway,Easton,MD,21601,MDM Bike MS 2014,0
2014,22516,MDM Bike Events,MDM Bike MS: Chesapeake Challenge 2014,8/2/2013 9:17,5/31/2014 13:35,500000,610,10,9360.3,418926.85,279377.11,58,57,7,9,25572,53,139549.74,329,62007.13,291,360773.72,10203,22432,2711,10028 Ocean Gateway,Easton,MD,21601,"Easton, Maryland - Bike MS 2014",20810
2013,21418,MDM Bike Events,MDM - 2013 MS Great 8 Tour Du Lac,1/18/2013 11:32,8/4/2013 16:08,200000,2,0,0,18220.45,16970.45,1,1,2,0,4385,1,1250,0,0,2,18420.45,0,0,200,,,None,,MDM - 2013 MS Great 8 Tour Du Lac,0
2013,20476,MDM Bike Events,not applicable,10/4/2012 12:18,5/31/2013 15:24,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10028 Ocean Gateway,Easton,MD,21601,not applicable,0
2013,20547,MDM Bike Events,n/a 1,10/11/2012 13:52,5/31/2013 9:07,750000,1,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10028 Ocean Gateway,Easton,MD,21601,n/a 1,0
2017,28915,MDM Bike Events,Bike MS: Chesapeake Challenge 2017,11/14/2016 12:18,6/17/2017 11:19,680000,747,5,22525.99,705769.48,582636.04,94,93,6,0,30218,0,123133.44,486,146634.58,266,597805.53,5362.63,32170,37620.63,10028 Ocean Gateway,Easton,MD,21601,MDM 2017 Bike MS: Chesapeake Challenge,27042
2014,23833,MDM Bike Events,MDM - 2014 MS Great 8 - Beach to Beach Tour,12/19/2013 15:38,10/6/2014 10:39,200000,4,0,0,36280.04,30540.04,1,1,4,0,7525,1,5740,3,353,1,35927.04,0,0,0,,,None,,MDM - 2014 MS Great 8 - Beach to Beach Tour,21418
2013,20810,MDM Bike Events,"Maryland, Easton - Bike MS: Chesapeake Challenge 2013",10/31/2012 9:38,6/1/2013 9:29,575000,662,19,8765.99,414494.14,267888.7,56,58,7,4,15575,27,146605.44,291,54482.63,390,360969.51,11629.91,21461.5,733,10028 Ocean Gateway,Easton,MD,21601,MDM - 2013 Bike MS: Chesapeake Challenge,17584
2014,21765,MDM Bike Events,MDM Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MDM Bike MS 2014 OLD,0
2014,21907,MIG Bike Events,MIG Bike MS 2014,4/10/2013 12:16,,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MIG Bike MS 2014,0
2013,19337,MIG Bike Events,"Michigan, Statewide - Bike MS Great Lakes Breakaway 2013",6/14/2012 21:45,10/1/2012 8:00,0,0,0,0,21224.75,0,0,0,0,0,0,0,21224.75,0,0,0,21224.75,0,21224.75,0,,State Wide,MI,,"Michigan, Statewide - Bike MS Great Lakes Breakaway-General Donation2013",18126
2013,19340,MIG Bike Events,2013 Bike MS Ride,6/14/2012 21:54,11/1/2012 11:51,10000,0,0,0,75,0,0,0,0,0,0,0,75,0,0,0,75,0,75,0,,,,,MIG 2013 Bike MS Virtual,18836
2014,21766,MIG Bike Events,MIG Bike MS 2014,4/1/2013 8:08,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MIG Bike MS 2014 OLD,0
2013,20360,MIG Bike Events,Great Lakes Breakaway Ride,10/2/2012 11:18,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,None,,MIG Bike MS 2013,0
2015,24857,MIG Bike Events,Bike MS: Great Lakes Breakaway General Donations,8/6/2014 8:17,9/30/2015 12:36,50000,0,0,0,16561.43,0,0,0,0,0,0,0,16561.43,0,0,0,16561.43,0,16561.43,0,,,,,MIG 2015 Bike MS: Great Lakes Breakaway General Donations,23406
2013,19339,MIG Bike Events,MIG 2013 Bike MS Sponsorship,6/14/2012 21:52,11/1/2012 11:51,10000,0,0,0,26117.63,0,0,0,0,0,0,0,26117.63,0,0,0,26117.63,0,26117.63,0,,State Wide,MI,,MIG 2013 Bike MS Sponsorship,18128
2014,23406,MIG Bike Events,"Michigan, Statewide - Bike MS Great Lakes Breakaway General Donation 2014",10/22/2013 6:34,9/30/2014 13:31,1000000,0,0,0,5361,0,0,0,0,0,0,0,5361,0,0,0,5361,0,5361,0,,,None,,"Michigan,Statewide - Bike MS Great Lakes Breakaway General Donation 2014",19337
2013,19338,MIG Bike Events,MIG 2013 Bike MS Merchandise Sales,6/14/2012 21:50,11/1/2012 11:54,10000,0,0,0,1470,0,0,0,0,0,0,0,1470,0,0,0,1470,0,1470,0,,State Wide,MI,,MIG 2013 Bike MS Merchandise Sales,18127
2015,24779,MIG Bike Events,Bike MS: Great Lakes Fall Breakaway 2015,7/23/2014 12:48,9/12/2015 8:21,30000,99,2,796,24278.5,19235,14,15,4,2,764,4,5043.5,41,3825,60,20858.5,320,192,155,Kensington Rd.,Brighton,MI,48116,MIG 2015 Bike MS: Great Lakes Fall Breakaway,22388
2015,24776,MIG Bike Events,Bike MS: Great Lakes West Michigan Breakaway 2015,7/23/2014 7:29,6/6/2015 12:12,350000,547,33,10990,311643.28,200642.13,60,64,5,3,12074,33,111001.15,219,50834.88,361,262727.4,23245,315,1060,168 E. 13th Street,Holland,MI,49423,MIG 2015 Bike MS: Great Lakes West Michigan Breakaway,22386
2014,22389,MIG Bike Events,"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2014",7/7/2013 22:48,9/27/2014 7:17,125000,327,5,4443,129490.33,71700.19,36,38,5,2,3470,11,57790.14,119,20554.4,213,110102.93,3082.39,5,1167,601 Weiss St.,Frankenmuth,MI,48734,"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2014",19328
2013,19328,MIG Bike Events,"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2013 ",6/13/2012 17:23,9/28/2013 10:56,100000,348,5,4790,132410.21,78002.51,30,33,5,4,3460,9,54407.7,130,25169.7,223,108413.51,2755,30,1173,,Frankenmuth,MI,,"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2013",17476
2014,22387,MIG Bike Events,"Michigan, Linden - Bike MS: Mid Michigan Great Lakes Breakaway 2014",7/7/2013 22:46,7/12/2014 11:15,350000,369,16,6850,214538.49,127988.03,33,33,6,2,4384,12,86550.46,127,26904,258,192300.49,5504,15456,4666,4070 Lahring Rd.,Linden,MI,48451,"Michigan, Linden - Bike MS: Mid Michigan Great Lakes Breakaway 2014",19331
2013,19332,MIG Bike Events,"Michigan, Brighton - Bike MS: Fall Breakaway 2013",6/13/2012 19:51,9/21/2013 14:58,30000,116,2,1080,12723.25,8159.25,17,18,4,2,515,1,4564,43,3969,75,8795.25,770,407,41,,Brighton,MI,,"Michigan, Brighton - Bike MS: Fall Breakaway 2013",17475
2013,19330,MIG Bike Events,"Michigan, Holland - Bike MS: West Michigan Great Lakes Breakaway 2013",6/13/2012 18:22,6/8/2013 10:58,350000,548,39,14140,264193.28,161299.95,49,51,7,3,20922,26,102893.33,221,44881.92,366,223420.36,8836.65,500,3959,,Holland,MI,,"Michigan, Holland - Bike MS: West Michigan Great Lakes Breakaway 2013",17473
2016,27703,MIG Bike Events,Bike MS: Great Lakes Bavarian Breakaway 2016,11/10/2015 11:50,9/24/2016 10:24,300000,271,12,3992.7,163867.55,95644.6,37,34,4,0,3214,0,68222.95,90,19474.65,193,145862.9,4080,305,340,601 Weiss Street,Frankenmuth,MI,48734,MIG 2016 Bike MS: Great Lakes Bavarian Breakaway,24780
2017,28287,MIG Bike Events,Bike MS: Great Lakes West Michigan Breakaway 2017,9/9/2016 13:22,6/3/2017 6:03,350000,334,11,8832,249067.61,150290.61,48,45,4,0,7057,0,98777,176,39410.11,169,213892.5,5352,19870,3175,168 East 13th Street,Holland,MI,49423,MIG 2017 Bike MS: Great Lakes West Michigan Breakaway,27249
2016,27704,MIG Bike Events,Bike MS: Great Lakes Mid Michigan Breakaway 2016,11/10/2015 11:51,7/16/2016 14:12,200000,303,20,4809.3,162274.15,122700.91,27,27,6,0,4303,0,39573.24,122,25645.4,201,138018.75,4790,4595,465,,East Lansing,MI,48824,MIG 2016 Bike MS: Great Lakes Mid Michigan Breakaway,24777
2014,22388,MIG Bike Events,"Michigan, Brighton - Bike MS: Fall Breakaway 2014",7/7/2013 22:47,9/13/2014 11:18,25000,93,0,864,37124.01,24115.01,13,14,5,0,870,3,13009,50,7804,43,29440.01,595,645,120,6312 Kensington Rd.,Brighton,MI,48116,"Michigan, Brighton - Bike MS: Fall Breakaway 2014",19332
2017,28938,MIG Bike Events,Bike MS: Great Lakes Fall Breakaway 2017,11/29/2016 11:18,9/9/2017 15:08,25000,38,4,780,11650,7048,9,8,2,3,146,7,4602,20,3160,22,8810,3152,0,0, 6301 Kensington Rd.,Brighton,MI,48116,MIG 2017 Bike MS: Great Lakes Fall Breakaway,27705
2016,27249,MIG Bike Events,Bike MS: Great Lakes West Michigan Breakaway 2016,10/21/2015 8:13,6/11/2016 8:12,350000,450,17,9128.7,287836.62,182237.68,49,48,5,0,8386,0,105598.94,177,38902.11,290,252355.51,20689.43,3038,1831,168 East 13th Street,Holland,MI,49423,MIG 2016 Bike MS: Great Lakes West Michigan Breakaway,24776
2015,24780,MIG Bike Events,Bike MS: Great Lakes Bavarian Breakaway 2015,7/23/2014 12:59,9/26/2015 10:49,150000,385,10,4644,204386.2,118945.21,42,46,5,4,5462,18,85440.99,120,22054.9,275,183226.3,12256.47,887,405,601 Weiss St,Frankenmuth,MI,48734,MIG 2015 Bike MS: Great Lakes Bavarian Breakaway,22389
2013,19331,MIG Bike Events,"Michigan, Linden - Bike MS: Mid Michigan Great Lakes Breakaway 2013",6/13/2012 19:07,7/13/2013 10:59,375000,428,38,9615,230080.64,139659,36,38,8,5,6531,30,90421.64,185,38596,281,194979.64,5454.35,1600,3495,,Linden,MI,,"Michigan, Linden - Bike MS: Mid Michigan Great Lakes Breakaway 2013",17474
2014,22386,MIG Bike Events,"Michigan, Holland - Bike MS: West Michigan Great Lakes Breakaway 2014",7/7/2013 22:44,6/8/2014 13:18,350000,489,32,11185,291318.4,185788.96,47,51,6,4,11772,29,105529.44,219,51792.45,302,241540.95,4054.84,25,1765,168 E. 13th Street,Holland,MI,49423,"Michigan, Holland - Bike MS: West Michigan Great Lakes Breakaway 2014",19330
2017,29037,MIG Bike Events,Bike MS: Great Lakes Bavarian Breakaway 2017,1/5/2017 13:52,9/23/2017 11:20,350000,281,2,5116,166531.1,94651.75,32,34,5,7,3531,22,71879.35,105,19914.3,178,151689.8,4797.5,68,1215,601 Weiss Street,Frankenmuth,MI,48734,MIG 2017 Bike MS: Great Lakes Bavarian Breakaway,27703
2017,28921,MIG Bike Events,Bike MS: Great Lakes Mid Michigan Breakaway 2017,11/17/2016 13:27,7/15/2017 6:29,350000,291,14,5015,198534.15,132415.38,28,29,6,0,6373,0,66118.77,121,25756.25,184,178805.65,4877.93,200,1478,56 S Harrison,East Lansing,MI,48823,MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,27704
2016,27705,MIG Bike Events,Bike MS: Great Lakes Fall Breakaway 2016,11/10/2015 11:51,9/10/2016 8:39,25000,91,1,911.4,21678,18563,13,13,4,0,383,0,3115,44,4075,48,17618,250,0,15,6301 Kensington Road,Brighton,MI,48116,MIG 2016 Bike MS: Great Lakes Fall Breakaway,24779
2015,24777,MIG Bike Events,Bike MS: Great Lakes Mid Michigan 2015,7/23/2014 8:13,7/11/2015 12:36,300000,331,23,4710,179385.57,120073.51,23,21,7,3,4515,15,59312.06,117,25522,237,155020.47,6090,456,966.9,2380 S Milford Rd.,Milford,MI,48357,MIG 2015 Bike MS: Great Lakes Mid Michigan Breakaway,22387
2013,20361,MNM Bike Events,MNM Bike MS 2013,10/2/2012 11:18,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MN,,MNM Bike MS 2013,0
2013,19658,MNM Bike Events,North Dakota - Bike MS: Sanford Health Ride the Wind 2013,7/25/2012 16:42,7/27/2013 15:43,120000,120,2,2056,72106.63,33152.21,13,15,7,0,4463,8,38954.42,51,8375,71,70325.21,0,0,20,,Fargo area,ND,58102,North Dakota - Bike MS: Sanford Health Ride the Wind 2013,17906
2015,25530,MNM Bike Events,2015 Bike MS: Sanford Health Sioux Falls Ride,10/23/2014 15:19,8/1/2015 14:44,82000,238,4,3555,76389.26,37159.8,37,39,4,4,2489,10,39229.46,139,17352,103,65708.26,885,350,20,3609 South Western Ave. ,Sioux Falls,SD,57105,MNM 2015 Bike MS: Sanford Health Sioux Falls Ride,23096
2016,27044,MNM Bike Events,Bike MS: Twin Cities Ride 2016,9/9/2015 15:01,5/7/2016 17:14,250000,1118,13,22775,221191.78,166184.86,141,140,5,0,7538,0,55006.92,643,48196,488,175804.78,8290.5,815,1709,910 Montreal Circle,St. Paul,MN,55102,MNM 2016 Bike MS: Twin Cities Ride,24896
2017,28924,MNM Bike Events,Bike MS: Sioux Falls Ride 2017,11/18/2016 16:51,8/5/2017 11:13,82000,165,3,3161,49133.04,27911,29,30,4,5,1997,13,21222.04,81,13856,87,44900.04,975,5100,7105,401 E. 8th St.,Sioux Falls,SD,57103,MNM 2017 Bike MS: Sioux Falls,27539
2015,25529,MNM Bike Events,Bike MS: TRAM Ride 2015,10/23/2014 15:17,7/23/2015 16:02,745000,706,38,19462.5,712265.73,360475.02,69,72,6,3,24548,47,351790.71,347,94363.78,397,655555.14,2107,1111,2826,,Proctor,MN,55810,MNM 2015 Bike MS: TRAM Ride,23064
2017,28893,MNM Bike Events,Bike MS: TRAM 2017,10/14/2016 12:55,7/19/2017 9:08,650000,641,12,13770,633772.27,354461.71,64,64,6,0,21330,0,279310.56,341,76697.85,312,602758.38,3665.5,2029.1,8030,300 Fairgrounds Rd,Alexandria,MN,56308,MNM 2017 Bike MS: TRAM,27184
2014,23086,MNM Bike Events,Bike MS: Sanford Health Ride the Wind 2014,10/1/2013 10:50,7/26/2014 14:42,120000,143,2,2985,71887.16,33832,20,27,4,1,1472,11,38055.16,72,9301,73,73981.16,700,50,200,,Fargo area,ND,56560,MNM 2014 North Dakota - Bike MS: Ride the Wind 2014,19658
2017,28105,MNM Bike Events,Bike MS: MS 150 Ride 2017,6/2/2016 10:47,6/9/2017 9:42,3000000,3821,106,99814,2806457.9,2162338.43,217,241,15,0,95055,0,644119.47,2156,530761.14,1771,2484821.81,29651,146604,177382.75,,Duluth to White Bear Lake,MN,55110,MNM 2017 Bike MS: MS 150 Ride,27006
2013,19514,MNM Bike Events,Iowa - Bike MS: Cruise the Cornfields 2013,7/11/2012 16:07,6/22/2013 11:13,95000,184,3,3545,101170.94,50135.13,27,31,4,0,2953,10,51035.81,80,18341,107,87079.94,0,0,0,,Des Moines,IA,50015,Iowa - Bike MS: Cruise the Cornfields 2013,17904
2014,23097,MNM Bike Events,Bike MS: C.H. Robinson Cruise the Cornfields 2014,10/1/2013 15:42,6/21/2014 14:40,200000,190,5,3730,58842.31,32031.8,30,31,4,1,595,8,26810.51,85,9480.54,110,52157.31,5826.19,135,325,,Ames,IA,50011,MNM 2014 Iowa - Bike MS: Cruise the Cornfields 2014,19514
2014,23096,MNM Bike Events,Bike MS: Sanford Health Pedal the Plains 2014,10/1/2013 15:05,8/2/2014 14:43,155000,228,6,5090,78343.23,36747.29,25,26,6,2,2742,10,41595.94,74,10231,160,74235.73,235,120,150,,Sioux Falls area,SD,57105,MNM 2014 South Dakota - Bike MS: Pedal the Plains 2014,19883
2016,26498,MNM Bike Events,MNM 2016 Bike MS: MS 150 Ride (temporary),6/4/2015 14:25,6/10/2016 9:51,3000000,851,4,7760,0,0,135,147,5,0,0,0,0,0,0,855,0,0,0,0,,,None,,MNM 2016 Bike MS: MS 150 Ride (temporary),0
2017,28428,MNM Bike Events,Bike MS: Iowa Ride 2017,9/15/2016 14:21,6/24/2017 14:58,96000,323,0,4506,76156.42,49550.42,39,42,6,9,2086,25,26606,164,22649,159,57965.42,834,3980,4378,716 SW Third St. ,Ankeny,IA,50023,MNM 2017 Bike MS: Iowa Ride,27049
2013,19883,MNM Bike Events,South Dakota - Bike MS: Sanford Health Pedal the Plains 2013,8/6/2012 13:35,8/3/2013 13:33,175000,253,5,4047,108389.68,42688.93,20,20,7,2,2639,10,65700.75,87,15519.5,171,100291.18,0,0,0,,Sioux Falls,SD,57101,South Dakota - Bike MS: Sanford Health Pedal the Plains 2013,17905
2013,19656,MNM Bike Events,Minnesota - Bike MS: TRAM Ride 2013,7/25/2012 15:13,7/14/2013 16:28,850000,850,22,27038.5,759227.87,338462.43,76,80,6,4,18373,65,420765.44,354,101970.92,518,708796.14,0,50,0,,International Falls to Duluth,MN,55805,Minnesota - Bike MS: TRAM Ride 2013,17619
2014,21908,MNM Bike Events,MNM Bike MS 2014,4/10/2013 12:16,,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MNM Bike MS 2014,0
2014,21767,MNM Bike Events,MNM Bike MS 2014,4/1/2013 8:09,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MNM Bike MS 2014 OLD,0
2015,26256,MNM Bike Events,BB copy MNM 2015 Bike MS: TRAM Ride,3/24/2015 11:40,7/23/2015 15:28,745000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Proctor,MN,55810,BB copy MNM 2015 Bike MS: TRAM Ride,0
2015,26496,MNM Bike Events,MNM 2016 MS 150 Ride (temporary),6/4/2015 13:56,1/1/2015 12:58,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MNM 2016 MS 150 Ride (temporary),0
2017,28209,MNM Bike Events,Bike MS: Twin Cities Ride 2017,8/8/2016 16:13,5/13/2017 10:43,250000,1246,18,26664.5,210036.05,144527.04,135,137,6,0,7628,0,65509.01,706,51203.5,558,165042.55,4663,5022.1,6110,910 Montreal Circle,St. Paul,MN,55102,MNM 2017 Bike MS: Twin Cities Ride,27044
2016,27006,MNM Bike Events,Bike MS: C.H. Robinson MS 150 Ride 2016,8/31/2015 15:23,6/10/2016 13:58,3000000,3906,94,102461,2838954.91,2104826.32,241,278,14,63,101419,686,734128.59,2231,513354.34,1769,2501703.25,20974.7,113531,147066.68,,Duluth to White Bear Lake,MN,55110,MNM 2016 Bike MS: MS 150 Ride,24936
2016,26516,MNM Bike Events,MNM 2016 Bike MS: Iowa Ride (temporary),6/8/2015 16:21,6/25/2016 13:42,200000,33,0,140,250,0,13,13,1,0,0,0,250,0,0,33,250,0,0,0,,,None,,MNM 2016 Bike MS: Iowa Ride (temporary),25324
2015,24896,MNM Bike Events,Bike MS: Sam's Club Twin Cities Ride 2015,8/12/2014 14:33,5/9/2015 15:03,250000,1186,19,14065,200783.61,137181.46,145,152,5,7,6819,27,63602.15,655,46342,550,159520.61,5338,170,100,910 Montreal Circle,St. Paul,MN,55102,MNM 2015 Bike MS: Sam's Club Twin Cities Ride,22107
2015,24936,MNM Bike Events,Bike MS: C.H. Robinson MS 150 Ride 2015,8/19/2014 12:25,6/12/2015 9:21,3000000,3886,101,101446,2828047.43,2035120.33,222,268,15,34,85572,345,792927.1,1909,376505.02,2078,2567240.2,47999.55,2489,7296,,Duluth,MN,55811,MNM 2015  Bike MS: C.H. Robinson MS 150 Ride,22278
2014,22278,MNM Bike Events,Bike MS: C.H. Robinson MS 150 Ride 2014,6/5/2013 16:30,6/6/2014 14:40,3000000,3796,81,128817.5,2619887.15,1837391.12,224,257,15,29,97764,301,782496.03,1822,334142.44,2055,2396537.23,20521.8,805,9696,,Duluth to the Twin Cities,MN,55110,MNM 2014 Minnesota - Bike MS: MS 150 Ride 2014,19263
2013,19263,MNM Bike Events,Minnesota - Bike MS: C.H. Robinson MS 150 Ride 2013,5/31/2012 10:16,6/7/2013 14:09,3000000,4119,83,128519.75,2757853.19,1902308.61,247,281,14,22,94538,327,855544.58,1824,325971.96,2378,2621883.61,894,0,50,,Duluth to the Twin Cities,MN,55810,Minnesota - Bike MS: C.H. Robinson MS 150 Ride 2013,17515
2016,27539,MNM Bike Events,Bike MS: Sanford Health Sioux Falls Ride 2016,10/29/2015 14:09,8/6/2016 12:30,82000,210,1,4270,54523.11,31433.55,29,29,4,4,1119,12,23089.56,113,29974.33,98,40064.78,475,15207.32,15465,401 E 8th St # 200A,Sioux Falls,SD,57103,MNM 2016 Bike MS: Sioux Falls Ride,25530
2016,27049,MNM Bike Events,Bike MS: C.H. Robinson Iowa Ride 2016,9/11/2015 12:13,6/25/2016 17:06,96000,379,0,5005,99687.39,55795.61,48,52,6,13,2875,27,43891.78,212,24802,167,78473.39,7060,2635,2690,716 SW Third St.,Ankeny,IA,50023,MNM 2016 Bike MS: Iowa Ride,25324
2015,25324,MNM Bike Events,Bike MS: C.H. Robinson Iowa Ride 2015,9/29/2014 16:44,6/27/2015 15:33,96000,357,9,5225,83483.64,42340.4,39,45,6,4,1386,12,41143.24,158,15724.2,208,70234.44,3560.48,180,320,716 SW 3rd Street,Ankeny,IA,50023,MNM 2015 Bike MS: C.H. Robinson Iowa Ride,23097
2014,23064,MNM Bike Events,Bike MS: TRAM Ride 2014,9/30/2013 14:32,7/13/2014 12:46,745000,705,21,19447.5,680155.65,295518.85,69,72,6,6,18347,43,384636.8,324,97996.72,402,631985.49,2097,85,1420,,Pipestone to Welch Village,MN,55415,MNM 2014 Minnesota - Bike MS: TRAM Ride 2014,19656
2013,19173,MNM Bike Events,Minnesota - Bike MS: SAM'S CLUB Twin Cities Ride 2013,5/7/2012 14:17,5/11/2013 11:43,250000,621,8,9341.5,135128.72,85774,77,78,4,7,6295,18,49354.72,279,20059.69,350,120074.75,0,0,0,,White Bear Lake,MN,55109,Minnesota - Bike MS: SAM'S CLUB Twin Cities Ride 2013,17384
2016,27184,MNM Bike Events,Bike MS: TRAM Ride 2016,10/8/2015 13:20,7/20/2016 14:49,745000,736,12,17725,686288.74,357675.36,75,74,6,9,22399,94,328613.38,376,81629.78,372,622112.96,2535.27,5595,12802,,Central,MN,56374,MNM 2016 Bike MS: TRAM,25529
2015,25531,MNM Bike Events,2015 Bike MS: Sanford Health Fargo Ride,10/23/2014 15:19,8/15/2015 12:34,82500,134,2,1915,52319.98,22115,18,20,4,0,2564,10,30204.98,76,9827,60,50099.98,2240,1115,1075,425 N. Broadway,Fargo,ND,58102,MNM 2015 Bike MS: Sanford Health Fargo Ride,23086
2014,22107,MNM Bike Events,Bike MS: Sam's Club Twin Cities Ride 2014,5/6/2013 13:15,5/10/2014 14:41,250000,815,7,11990,159565.74,105596.47,89,92,5,7,7398,32,53969.27,409,29207.53,413,138079.07,2210,125,251,,Twin Cities,MN,55415,MNM 2014 Minnesota - Bike MS: Twin Cities Ride 2014,19173
2014,22760,MOS Bike Events,Bike MS: Express Scripts Gateway Getaway Ride 2014,9/3/2013 13:23,9/6/2014 12:51,2300000,2178,606,58365,1708242.81,1050438.21,178,192,11,12,74538,127,657804.6,1326,542312.25,1458,1419376.41,84954.8,257512.67,242872.67,5212 North Oakland Gravel Road,Columbia,MO,65202,"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",20130
2017,28218,MOS Bike Events,Bike MS: Kick-Off Ride,8/12/2016 13:46,12/31/2017 12:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MOS 2017 Bike MS: Columbia,0
2015,25037,MOS Bike Events,MOS 2015 Test,9/4/2014 13:16,1/1/2015 13:19,2300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,MOS 2015 Test,0
2014,21909,MOS Bike Events,MOS Bike MS 2014,4/10/2013 12:16,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5212 North Oakland Gravel Road,Columbia,MO,65202,MOS Bike MS 2014,0
2013,20794,MOS Bike Events,MOS Bike 2013 Test,10/29/2012 15:59,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,MO,,MOS Bike 2013 Test,0
2013,20130,MOS Bike Events,"Missouri, Columbia  Bike MS: Express Scripts Gateway Getaway Ride 2013",9/6/2012 10:49,9/7/2013 13:36,2300000,2539,401,76480,1736943.44,1038001.25,197,221,11,10,62855,131,698942.19,1426,519113.91,1514,1437801.5,75554.49,220076.77,213470,5212 North Oakland Gravel Road,Columbia,MO,65202,"Missouri, Columbia  Bike MS: Express Scripts Gateway Getaway Ride 2013",17785
2016,26906,MOS Bike Events,MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride Temporary,8/24/2015 14:26,9/10/2016 15:57,2300000,30,0,379,25,25,6,6,1,1,0,1,0,2,25,28,0,0,0,0,5800 Godfrey Rd.,Godfrey,IL,62035,MOS 2016 Bike MS: Express Scripts Gateway Getaway Ride Temporary,25028
2015,25028,MOS Bike Events,Bike MS: Express Scripts Gateway Getaway Ride 2015,9/3/2014 12:45,9/12/2015 12:56,2300000,2685,434,71615,1636626.76,1018623.39,165,177,12,28,65688,178,618003.37,1270,471758.66,1849,1351156.19,69059.42,197707.53,182859.09,5800 Godfrey Rd.,Godfrey,IL,62035,MOS 2015 Bike MS: Express Scripts Gateway Getaway Ride,22760
2016,28268,MOS Bike Events,Team ASAP,8/31/2016 8:07,8/31/2016 8:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Team ASAP,0
2014,24390,MOS Bike Events,MOS Bike MS 2014- Copy,6/12/2014 12:12,,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5212 North Oakland Gravel Road,Columbia,MO,65202,MOS Bike MS 2014- Copy,0
2013,19693,MOS Bike Events,MOS 2013 Bike MS Gateway Getaway v1,7/30/2012 10:26,9/7/2013 14:07,2600000,0,2,20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5212 North Oakland Gravel Road,Columbia,MO,65202,MOS 2013 Bike MS Gateway Getaway v1,0
2017,28272,MOS Bike Events,Bike MS: Gateway Getaway Ride 2017 ,9/2/2016 11:33,9/9/2017 9:00,1870000,1867,173,63995,1606342.85,1043921.03,138,144,12,0,50197,0,562421.82,1130,446285.84,910,1407774.01,80765.75,221573,228131,5800 Godfrey Road ,Godfrey,IL,62035,MOS 2017 Bike MS: Gateway Getaway Ride,27053
