Internal Event Name,Event ID,Team Division,Company,Number of Participants,Total Fees Paid,Team Total Confirmed ($),Total Online Gifts($),Total Offline Confirmed Gifts($),Total Offline Unconfirmed Gifts($),Team Goal($),Total Confirmed Gifts in Team History($),Previous Event Fiscal Year,Previous Event Confirmed Gifts($),Previous Event Team Members,Fiscal Year
"Connecticut, Westport - Bike MS 2014",23495,Corporate,,2,0,85,0,85,0,0,85,,0,0,2014
"Connecticut, Windsor - Bike MS 2014",23432,Corporate,,1,0,85,85,0,0,0,85,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Elwyn pharmacy,11,565,85,85,0,0,5000,85,,0,0,2014
COC 2016 Bike MS: Colorado,27037,Corporate,EKS&H,2,70,85,85,0,0,0,2235,2015,2150,6,2016
FLS 2016 Bike MS: Breakaway to Key Largo,26536,Corporate,DHL EXPRESS,52,0,85,85,0,0,5000,245,,0,0,2016
"New Bern, NC - Bike MS 2013",20780,Corporate,Grainger Ind Supply,1,45,75,0,75,0,1200,75,,0,0,2013
ALC 2016 Bike MS: Rocket to the Shoals,27776,Corporate,US Space and Rocket Center,3,70,75,75,0,0,5000,13415,2015,13340,16,2016
CAN 2016 Bike MS: Waves to Wine Ride,27080,Corporate,Team HP,2,40,75,75,0,0,0,24998.01,2015,24923.01,24,2016
CTN 2016 Bike MS: Windsor,27498,Corporate,Quality Physical Therapy,1,25,75,75,0,0,0,850,2015,775,1,2016
MNM 2016 Bike MS: MS 150 Ride,27006,Corporate,7Sigma Systems,1,20,75,75,0,0,1000,75,,0,0,2016
MNM 2016 Bike MS: Twin Cities Ride,27044,Corporate,,1,0,75,75,0,0,0,375,2015,300,6,2016
PAE0EMS120160924CTS - PAE 2016 Bike MS: City to Shore Ride,27061,Corporate,CycleLuv,2,85,75,75,0,0,25000,75,,0,0,2016
PAE0EMS120160924CTS - PAE 2016 Bike MS: City to Shore Ride,27061,Corporate,"Flaster Greenberg, PC",1,65,75,75,0,0,1500,75,,0,0,2016
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Team Shell,1,100,75,75,0,0,400,75,,0,0,2016
FLS 2017 Bike MS: Breakaway to Key Largo,28099,Corporate,World Fuel Services,1,40,75,75,0,0,5000,75,,0,0,2017
"CAL, Ventura - Bike MS: Coastal Challenge 2012",18177,Corporation,Gulfstream Aerospace,2,35.52,75,75,0,0,500,75,,0,0,2013
Minnesota - Bike MS: SAM'S CLUB Twin Cities Ride 2013,19173,Corporation,Cargill,2,15,75,75,0,0,0,75,,0,0,2013
"Indiana, Carmel - Bike MS 2013",21076,Corporate,,13,310,70,70,0,0,10000,70,,0,0,2013
CAN 2015 Bike MS: Waves to Wine Ride,25199,Corporate,Eventbrite,4,90,70,70,0,0,3000,70,,0,0,2015
ILD 2016 Bike MS: Tour de Farms,27043,Corporate,Modern Process Equipment,2,120,70,70,0,0,1500,70,,0,0,2016
NYR 2016 Bike MS: Hudson River Ramble,27719,Corporate,xpedx/International Paper,2,50,70,70,0,0,2000,70,,0,0,2016
COC 2017 Bike MS Colorado,28914,Corporate,Eaton Corp.,1,69,70,70,0,0,4300,70,,0,0,2017
NJM 2017 Bike MS: Coast the Coast,28897,Corporate,Enterprise,1,0,70,0,70,0,0,5565.5,2016,2155,13,2017
TXH 2017 Bike MS: Dallas,28791,Corporate,Westin Dallas Downtown,2,80,70,70,0,0,1200,70,,0,0,2017
NCC 2013 Bike MS Gears and Cheers,21437,Corporate,Fidelity Investments,1,40,65,65,0,0,0,65,,0,0,2013
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,Facebook,1,35,65,65,0,0,0,65,,0,0,2014
MNM 2014 Iowa - Bike MS: Cruise the Cornfields 2014,23097,Corporate,HealthSource of West Des Moines,1,15,65,65,0,0,10000,65,,0,0,2014
"New Jersey, Lambertville - Hops to Hops Bike MS 2014",24169,Corporate,Richardson & Richardson LLC,2,90,65,65,0,0,1000,65,,0,0,2014
COC 2015 Bike MS: Colorado,25572,Corporate,Conundrum Technologies,1,89,65,65,0,0,5000,65,,0,0,2015
GAA Bike MS 2015,24767,Corporate,Slalom,1,0,65,65,0,0,0,65,,0,0,2015
NJM 2015 Bike MS : Country Challenge,25928,Corporate,The Linde Group,1,45,65,65,0,0,2500,65,,0,0,2015
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,"J. M. COHEN, LLC",1,50,65,65,0,0,5000,65,,0,0,2015
Ohio - Bike MS: Pedal to the Point Ride 2014,23877,Corporate,,1,50,60,60,0,0,0,60,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Delaware Investments - Macquarie,3,105,60,60,0,0,2000,60,,0,0,2014
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Go Green Lawn Services,2,200,60,60,0,0,300,60,,0,0,2015
MNM 2017 Bike MS: Twin Cities Ride,28209,Corporate,Egan Company,2,90,55,55,0,0,1095,55,,0,0,2017
NYN 2013 Bike MS New York City,21176,Corporate,McGraw-Hill Financial Bike Team,2,80,54,54,0,0,500,54,,0,0,2014
GAA Bike MS 2015,24767,Corporate,The Lodge and Spa at Callaway Gardens,1,40,50,50,0,0,3500,50,,0,0,2015
MNM 2015 Bike MS: Sam's Club Twin Cities Ride,24896,Corporate,PricewaterhouseCoopers,1,10,50,50,0,0,1000,50,,0,0,2015
PAE0EMS120150926CTS Bike MS: City to Shore Ride 2015,25223,Corporate,Team Ferrero,1,35,50,50,0,0,300,50,,0,0,2015
PAX 2015 Bike MS: Cook Forest River Ride,25896,Corporate,Giant,1,0,50,0,50,0,0,50,,0,0,2015
"PAX 2015 Bike MS: Escape to Lake presented by FedEx Ground, 30th Anniversary Ride",25779,Corporate,Deloitte,2,25,50,50,0,0,15000,50,,0,0,2015
"TXH Texas, Houston - 2015 BP MS 150 Houston to Austin",25298,Corporate,FLEXIM,18,1820,50,50,0,0,6000,50,,0,0,2015
VAR 2015 Bike MS: Ride Virginia,25368,Corporate,Vitamin Shoppe,2,80,50,50,0,0,0,50,,0,0,2015
MNM 2017 Bike MS: Twin Cities Ride,28209,Corporate,,1,0,50,50,0,0,0,50,,0,0,2017
OHA 2017 Bike MS: Buckeye Breakaway,28892,Corporate,Jäger Consulting,4,60,50,50,0,0,0,4780,2016,3135,6,2017
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,Lancaster Doulas,3,105,50,50,0,0,15000,50,,0,0,2017
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,Dynegy,1,50,50,50,0,0,10000,50,,0,0,2017
TXH 2016 Bike MS: San Antonio,27923,Corporate,City of Houston,1,0,50,50,0,0,800,50,,0,0,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Primal Wear,1,0,50,50,0,0,500,50,,0,0,2017
TXH 2017 Bike MS: BP MS 150,28263,Corporate,Spirit of Texas Bank,3,75,50,50,0,0,4000,8530,2016,4445,4,2017
WAS 2017 Bike MS: Deception Pass Classic,28273,Corporate,,2,75,50,50,0,0,1000,50,,0,0,2017
PAE0EMS120130928CTS - Bike MS: City to Shore Ride 2013,20331,Corporation,Model N,1,50,50,50,0,0,5000,50,,0,0,2013
FLN 2016 Bike MS: PGA TOUR Cycle to the Shore,27711,Corporate,UPS,9,205,45,0,45,0,0,2255,2016,2210,11,2017
OHG 2015 Bike MS: Oregonia,24907,Corporate,Lebanon CDJ,1,0,42,0,42,0,0,42,,0,0,2015
TXH 2016 Bike MS: BP MS 150,27003,Corporate,Lupus Foundation,1,100,40,40,0,0,20000,40,,0,0,2016
MIG 2017 Bike MS: Great Lakes Mid Michigan Breakaway,28921,Corporate,,1,0,40,0,40,0,1500,4585,2016,3335,11,2017
CAS Bike MS 2012,18684,Corporation,Orchard Financial and Insurance Services,2,100,40,40,0,0,5000,40,,0,0,2013
Pennsylvania - bike MS: Keystone Country Ride 2013,20527,Corporation,Natural Gains,2,60,40,40,0,0,1500,40,,0,0,2013
2013 Bike MS Hawaii,21136,Corporate,,1,30,35,35,0,0,0,35,,0,0,2013
DED Bike MS: Crankin for a Cure 2013,21206,Corporate,Artisans' Bank,1,50,35,35,0,0,500,35,,0,0,2013
"NVL, Vegas - Bike MS: Vegas Challenge 2013",21456,Corporate,FYZICAL THERAPY AND BALANCE CENTER,3,105,35,35,0,0,5,35,,0,0,2013
"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",20717,Corporate,Friedman LLP,1,30,35,35,0,0,5000,35,,0,0,2013
FLS 2014 Bike MS: Breakaway to Key Largo,22411,Corporate,American Red Cross,20,0,35,35,0,0,0,35,,0,0,2014
GAA- Bike MS 2014,23662,Corporate,,1,10,35,35,0,0,0,35,,0,0,2014
"Michigan, Holland - Bike MS: West Michigan Great Lakes Breakaway 2014",22386,Corporate,,3,50,35,35,0,0,0,35,2013,4149,4,2014
NYN 2014 Bike MS New York City,23928,Corporate,Vitamin Shoppe,2,17.76,35,35,0,0,0,35,,0,0,2015
TNS 2014 Bike MS Jack and Back,23107,Corporate,,1,0,35,35,0,0,5000,35,,0,0,2015
AZA 2016 Bike MS: Arizona,27681,Corporate,,15,0,35,35,0,0,0,35,,0,0,2016
COC 2016 Bike MS: Colorado,27037,Corporate,"5280 Publishing, Inc.",3,0,35,35,0,0,5000,35,,0,0,2016
COC 2016 Bike MS: Colorado,27037,Corporate,Air Comm Corp,1,79,35,35,0,0,5000,35,,0,0,2016
FLS 2016 Bike MS: Breakaway to Key Largo,26536,Corporate,Microsoft,9,0,35,35,0,0,5000,35,2015,0,14,2016
ILD 2016 Bike MS: Tour de Farms,27043,Corporate,Dover Foundation,12,0,35,35,0,0,0,10255,2015,220,13,2016
MAM 2016 Bike MS: Cape Cod Getaway - Registrations Only,26586,Corporate,Comcast,2,150,35,35,0,0,5000,35,,0,0,2016
MAM 2016 Bike MS: Ride the Rhode,27041,Corporate,,4,0,35,35,0,0,0,935,2015,900,4,2016
PAE0EMS120160924CTS - PAE 2016 Bike MS: City to Shore Ride,27061,Corporate,"Synchrony Group, LLC",1,35,35,35,0,0,0,1710,2015,1675,4,2016
PAE0EMS120160924CTS - PAE 2016 Bike MS: City to Shore Ride,27061,Corporate,TD Bank,4,0,35,35,0,0,2500,35,,0,0,2016
PAE0EMS120160924CTS - PAE 2016 Bike MS: City to Shore Ride,27061,Corporate,USLI,1,50,35,35,0,0,0,1845,2015,1810,4,2016
VAR 2016 Bike MS: Colonial Crossroads,27059,Corporate,Vitamin Shoppe,1,35,35,35,0,0,1000,35,,0,0,2016
ILD 2017 Bike MS: Tour de Farms,28197,Corporate,Capital One Bike Team,1,50,35,35,0,0,1200,35,,0,0,2017
MOS 2017 Bike MS: Gateway Getaway Ride,28272,Corporate,Accenture,3,60,35,35,0,0,0,5470,2016,2660,8,2017
PAE 2017 Bike MS: City to Shore Ride - CTS,28216,Corporate,,2,70,35,35,0,0,0,2601,2016,2566,9,2017
TXH 2017 Bike MS: Dallas,28791,Corporate,Greystar,1,50,35,35,0,0,1200,35,,0,0,2017
"New Bern, NC - Bike MS 2013",20780,Corporate,,15,0,30,30,0,10,0,30,2012,200,12,2013
"CAL, Ventura - Bike MS: Coastal Challenge 2013",21167,Corporate,Walt Disney Company Bike Team,1,60,30,20,10,1000,5000,30,,0,0,2014
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,Comcast Bike Team,4,30,30,0,30,0,5000,30,,0,0,2015
"Kentucky, Shelbyville - Bike MS 2014",22436,Corporate,Brown-Forman,2,35,25,0,25,0,7500,25,,0,0,2014
ILD 2015 Bike MS: Tour de Farms,25280,Corporate,MUFG Union Bank,1,40,25,25,0,0,10000,25,,0,0,2015
WAS 2015 Bike MS: Deception Pass Classic,25436,Corporate,HOT 103.7,1,0,25,25,0,0,1000,25,,0,0,2015
WAS 2016 Bike MS: Ride the Sky,27172,Corporate,,2,100,25,25,0,0,5000,25,,0,0,2016
OHA 2017 Bike MS: Bike to the Bay,28384,Corporate,Welltower Inc.,2,30,25,25,0,0,0,9145,2016,4065,12,2017
OHG 2017 Bike MS: Oxford,28922,Corporate,,1,0,25,0,25,0,0,25,,0,0,2017
UTU 2017 Bike MS: Logan,28813,Corporate,Team LDS,3,135,25,25,0,0,1000,1715,2016,995,3,2017
Maine - Bike MS: Great Maine Getaway 2013,19743,Corporation,,1,0,25,25,0,0,1000,25,,0,0,2013
TNS 2012 Bike Jack and Back,18277,Corporation,Enterprise Bike Team,2,0,25,25,0,0,1000,25,,0,0,2013
"Mississippi, Clinton - 2013 Bike MS: Bike to the Battlefield",21037,Corporation,AT&T,1,30,25,25,0,0,1700,25,,0,0,2014
CAS Bike MS 2013 - San Diego,21507,Corporate,Alternative Physical Therapy,1,40,20.08,20.08,0,0,10020.08,20.08,,0,0,2014
"TXH Arkansas, Little Rock - Bike MS 2015",25926,Corporate,Whole Foods,1,0,20,20,0,0,1000,20,,0,0,2015
NYN 2015 Bike MS: New York City,26036,Corporate,Mascioni & Behrmann,2,100,20,0,20,0,3600,20,,0,0,2016
NYR 2017 Bike MS: ROC the Ride,28957,Corporate,ThermApparel,3,30,15,0,15,0,2000,2460,2016,2445,7,2017
"Texas, San Antonio - Bike MS 2013",21526,Corporate,Bicycle Shack,1,0,12,0,12,0,1000,12,,0,0,2014
Pennsylvania - bike MS: Keystone Country Ride 2013,20527,Corporation,Zoll LifeVest,2,25,12,12,0,0,500,12,,0,0,2013
DED Bike MS: Crankin for a Cure 2013,21206,Corporate,CORNER BAKERY,3,145,10,10,0,0,0,10,,0,0,2013
GAA Bike MS 2015,24767,Corporate,Capgemini,2,0,10,10,0,0,0,10,,0,0,2015
"New Jersey, Morristown - Bike MS 2013",21296,Corporate,,11,0,5,5,0,0,0,5,,0,0,2013
Minnesota - Bike MS: C.H. Robinson MS 150 Ride 2013,19263,Corporation,Carlson,2,50,5,5,0,0,10000,5,,0,0,2013
2013 Bike MS Hawaii,21136,Corporate,go!Airlines,1,0,0,0,0,0,0,0,,0,0,2013
Bike MS: Breakaway to the Beach 2013,20796,Corporate,Raleigh Marriott City Center,1,45,0,0,0,0,3000,0,,0,0,2013
Bike MS: Breakaway to the Beach 2013,20796,Corporate,"Moonlite Electric & Construction, Inc.",1,35,0,0,0,0,1000,0,,0,0,2013
Colorado - Bike MS 2013,20901,Corporate,Biogen,1,35,0,0,0,0,10000,0,,0,0,2013
Colorado - Bike MS 2013,20901,Corporate,,1,69,0,0,0,0,2000,0,,0,0,2013
"Connecticut, Westport - Bike MS 2013",21047,Corporate,Aetna,1,0,0,0,0,0,1000,0,,0,0,2013
DED Bike MS: Bike to the Bay 2013,20707,Corporate,,2,0,0,0,0,0,0,0,,0,0,2013
DED Bike MS: Crankin for a Cure 2013,21206,Corporate,Americorps NCCC Atlantic Region,1,0,0,0,0,0,0,0,,0,0,2013
ILD Bike MS: Tour de Farms 2013,20718,Corporate,,2,35,0,0,0,0,0,0,,0,0,2013
ILD Bike MS: Tour de Farms 2013,20718,Corporate,,1,0,0,0,0,0,5000,0,,0,0,2013
"Indiana, Carmel - Bike MS 2013",21076,Corporate,Dignity Memorial,1,35,0,0,0,0,500,0,,0,0,2013
"NVL, Vegas - Bike MS: Vegas Challenge 2013",21456,Corporate,,2,0,0,0,0,0,2000,0,,0,0,2013
"NVL, Vegas - Bike MS: Vegas Challenge 2013",21456,Corporate,,9,0,0,0,0,0,5000,0,2013,45,5,2013
"New Bern, NC - Bike MS 2013",20780,Corporate,McCarter Forestry,3,135,0,0,0,0,1500,0,,0,0,2013
"New Bern, NC - Bike MS 2013",20780,Corporate,Target,4,0,0,0,0,0,100,0,,0,0,2013
"New Bern, NC - Bike MS 2013",20780,Corporate,Pfizer,1,0,0,0,0,0,10000,0,,0,0,2013
"New Jersey, Morristown - Bike MS 2013",21296,Corporate,,4,0,0,0,0,0,0,0,,0,0,2013
"New Jersey, Morristown - Bike MS 2013",21296,Corporate,Novartis,6,300,0,0,0,0,0,0,,0,0,2013
"New Jersey, Morristown - Bike MS 2013",21296,Corporate,,2,70,0,0,0,0,0,0,,0,0,2013
"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",20717,Corporate,,2,0,0,0,0,0,0,0,,0,0,2013
"New Jersey, Oakhurst - Coast the Coast Bike MS 2013",20717,Corporate,,2,50,0,0,0,0,200,0,,0,0,2013
ORC 2013 Bike MS Oregon Willamette Valley,19458,Corporate,,4,0,0,0,0,0,0,0,,0,0,2013
ORC 2013 Bike MS Oregon Willamette Valley,19458,Corporate,Delap LLP,1,30,0,0,0,0,2500,0,,0,0,2013
Ohio - Bike MS: Pedal to the Point Ride 2013,20976,Corporate,Progressive Insurance,1,20,0,0,0,0,0,0,2012,1060,4,2013
Ohio - Bike MS: Pedal to the Point Ride 2013,20976,Corporate,Wraptite,3,60,0,0,0,0,1000,0,,0,0,2013
"Oklahoma, Chandler - Bike MS: The Mother Road Ride 2013",21466,Corporate,Sam's Club,19,0,0,0,0,0,0,0,,0,0,2013
"Oklahoma, Chandler - Bike MS: The Mother Road Ride 2013",21466,Corporate,Whole Foods,1,25,0,0,0,0,1500,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,1,100,0,0,0,0,20000,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,DEFINE: body & mind,1,100,0,0,0,0,10000,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Foxconn,1,100,0,0,0,0,5000,0,2012,1360,2,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,IBM,1,100,0,0,0,0,0,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,LSEF Cyclers,1,100,0,0,0,0,1000,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,,3,300,0,0,0,0,20000,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Dahill,2,0,0,0,0,0,0,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Liberty Mutual Insurance,1,100,0,0,0,0,2400,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,"TELEIOO Consulting, LLC",1,100,0,0,0,0,7500,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,24 Hour,1,0,0,0,0,0,2400,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,Tomball Regional Medical Center,1,0,0,0,0,0,15000,0,,0,0,2013
"Texas, Houston - 2013 BP MS 150",20226,Corporate,The Loken Group,2,200,0,0,0,0,0,0,,0,0,2013
WAS 2013 Bike MS - Montana,21137,Corporate,,15,0,0,0,0,0,500,0,,0,0,2013
WAS 2013 Bike MS - Washington,21128,Corporate,Europe Through the Back Door,3,40,0,0,0,0,30000,0,,0,0,2013
WAS 2013 Bike MS - Washington,21128,Corporate,Novartis,5,275,0,0,0,0,0,0,,0,0,2013
"West Virginia, White Sulpher Springs -  Bike MS: Country Roads Ride 2013",21348,Corporate,,2,0,0,0,0,0,5000,0,,0,0,2013
Wyoming - Bike MS 2013,20902,Corporate,,2,85,0,0,0,0,1200,0,,0,0,2013
"Alabama, Athens - Bike MS: North Alabama 2014",22490,Corporate,HealthSouth,1,0,0,0,0,0,1000,0,,0,0,2014
"Arkansas, Little Rock - Bike MS 2014",23826,Corporate,RE/MAX of Hot Springs Village,2,50,0,0,0,0,500,250,,0,0,2014
"CAL, Ventura - Bike MS: Coastal Challenge 2013",21167,Corporate,,13,0,0,0,0,0,0,0,,0,0,2014
CAN 2014 Bike MS: Waves to Wine Ride,22900,Corporate,LinkedIn,1,0,0,0,0,0,5000,0,,0,0,2014
CAS Bike MS 2013 - San Diego,21507,Corporate,Alphatec Spine,1,40,0,0,0,0,5000,0,,0,0,2014
CAS Bike MS 2013 - San Diego,21507,Corporate,,6,0,0,0,0,0,0,0,,0,0,2014
CAS Bike MS 2013 - San Diego,21507,Corporate,Panther Expedited Services,1,60,0,0,0,0,1200,0,2013,820,2,2014
CAS Bike MS 2013 - San Diego,21507,Corporate,,4,0,0,0,0,0,1600,0,,0,0,2014
Colorado - Bike MS 2014,22980,Corporate,,1,20,0,0,0,0,1000,0,,0,0,2014
Colorado - Bike MS 2014,22980,Corporate,Insight Photonic Solutions,1,65,0,0,0,0,800,0,,0,0,2014
DCW 2014 Bike MS: Ride the Riverside,22016,Corporate,Novant Health,1,25,0,0,0,0,5000,0,,0,0,2014
DED Bike MS: Bike to the Bay 2014,23771,Corporate,,2,35,0,0,0,0,0,0,,0,0,2014
DED Bike MS: Crankin for a Cure 2014,23770,Corporate,Accenture,2,105,0,0,0,0,0,0,,0,0,2014
"Easton, Maryland - Bike MS 2014",22516,Corporate,North Slope Solutions,1,0,0,0,0,0,300,0,,0,0,2014
FLS 2014 Bike MS: Breakaway to Key Largo,22411,Corporate,,8,0,0,0,0,0,0,0,,0,0,2014
FLS 2014 Bike MS: Breakaway to Key Largo,22411,Corporate,MAKO,1,20,0,0,0,0,5000,0,,0,0,2014
FLS 2014 Bike MS: Breakaway to Key Largo,22411,Corporate,,1,0,0,0,0,0,0,0,,0,0,2014
GAA- Bike MS 2014,23662,Corporate,,4,10,0,0,0,0,0,0,,0,0,2014
ILD Bike MS: Tour de Farms 2014,22978,Corporate,The Ease Program,1,40,0,0,0,0,1000,0,,0,0,2014
ILD Bike MS: Tour de Farms 2014,22978,Corporate,The Office Connection,1,40,0,0,0,0,300,0,,0,0,2014
"Kansas City, KS Bike MS 2014",22790,Corporate,Bank of America,1,0,0,0,0,0,200,0,,0,0,2014
"Kentucky, Shelbyville - Bike MS 2014",22436,Corporate,,1,45,0,0,0,0,3000,0,,0,0,2014
"Kentucky, Shelbyville - Bike MS 2014",22436,Corporate,Trilogy Health Services,3,0,0,0,0,0,10000,0,,0,0,2014
"Kentucky, Shelbyville - Bike MS 2014",22436,Corporate,UPS,1,25,0,0,0,0,10000,0,,0,0,2014
"Michigan, Frankenmuth - Bike MS: Bavarian Breakaway 2014",22389,Corporate,Brose North America,1,0,0,0,0,0,0,0,,0,0,2014
"Michigan, Linden - Bike MS: Mid Michigan Great Lakes Breakaway 2014",22387,Corporate,,1,0,0,0,0,0,0,0,,0,0,2014
"Missouri, Columbia - Bike MS: Express Scripts Gateway Getaway Ride 2014",22760,Corporate,TINT WORLD,2,0,0,0,0,0,1800,0,,0,0,2014
NCT 2014 Bike MS: Breakaway to the Beach,23842,Corporate,,5,0,0,0,0,0,0,0,,0,0,2015
NCT 2014 Bike MS: Historic New Bern Ride,23481,Corporate,,1,55,0,0,0,0,1000,0,,0,0,2014
NCT 2014 Bike MS: Tour to Tanglewood,23796,Corporate,,1,20,0,0,0,0,0,0,,0,0,2014
NCT 2014 Bike MS: Tour to Tanglewood,23796,Corporate,Sales Factory + Woodbine,2,0,0,0,0,0,2500,0,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,,2,0,0,0,0,0,0,0,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,CorporateAccess.net,2,0,0,0,0,0,5000,0,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,Jefferies,1,0,0,0,0,0,0,0,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,Leebro POS,3,0,0,0,0,0,1000,0,2013,860,5,2014
NYN 2013 Bike MS New York City,21176,Corporate,Leisure Fitness Equipment,1,50,0,0,0,0,3000,0,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,Maxum Funding,1,0,0,0,0,0,5000,0,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,Pariveda,1,40,0,0,0,0,0,0,,0,0,2014
NYN 2013 Bike MS New York City,21176,Corporate,UX Specialized Logistics,2,90,0,0,0,0,5000,0,,0,0,2014
Ohio - Bike MS: Bike to the Bay 2014,23906,Corporate,North Star BlueScope Steel,1,10,0,0,0,0,0,0,,0,0,2014
"Oregon, Portland - Bike MS 2014",22739,Corporate,Full Sail Brewing,4,0,0,0,0,0,1000,0,,0,0,2014
"Oregon, Portland - Bike MS 2014",22739,Corporate,FedEx,2,28,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,2,0,0,0,0,0,0,0,2013,0,12,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,1,0,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,1,0,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,2,0,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,3,0,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Deloitte,1,0,0,0,0,0,1000,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,HPIX,1,35,0,0,0,0,15000,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,Vitamin Shoppe,1,45,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,40,0,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,1,20,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,,4,0,0,0,0,0,0,0,,0,0,2014
"PAE0EMS120140927CTS - New Jersey, Cherry Hill - Bike MS: City to Shore 2014",22817,Corporate,winslow animal hospital,1,35,0,0,0,0,2000,0,,0,0,2014
TNS 2014 Bike MS Rock-N-Roll,22797,Corporate,Community Health Systems,1,15,0,0,0,0,15000,0,,0,0,2014
"Texas, Dallas - Bike MS 2014",22466,Corporate,Dr Pepper Snapple Group,2,0,0,0,0,0,15000,0,,0,0,2014
"Texas, Dallas - Bike MS 2014",22466,Corporate,,1,0,0,0,0,0,0,0,,0,0,2014
"Texas, Dallas - Bike MS 2014",22466,Corporate,US Aviation,1,25,0,0,0,0,1000,0,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,The Global Edge Group,1,100,0,0,0,0,5000,0,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,Cox Communications,1,100,0,0,0,0,0,0,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,1,130,0,0,0,0,400,0,,0,0,2014
"Texas, Houston - 2014 BP MS 150",22598,Corporate,,2,200,0,0,0,0,2000,0,,0,0,2014
"Texas, Midland - Bike MS 2014",23317,Corporate,Test Company,1,0,0,0,0,0,0,0,,0,0,2014
"Texas, San Antonio - Bike MS 2013",21526,Corporate,Occucare International,1,35,0,0,0,0,300,0,,0,0,2014
"Texas, San Antonio - Bike MS 2013",21526,Corporate,Soler's Sports,1,0,0,0,0,0,1000,0,,0,0,2014
"Texas, San Antonio - Bike MS 2013",21526,Corporate,Cal-Tex Protective Coating,2,85,0,0,0,0,600,0,,0,0,2014
"Utah, Logan - Bike MS: 2014",22337,Corporate,Hewlett-Packard,2,49.72,0,0,0,0,500,0,,0,0,2014
"Utah, Logan - Bike MS: 2014",22337,Corporate,Multidimensional Software Creations,1,22.5,0,0,0,0,1000,0,,0,0,2014
